,company_name,industry,last_price,change,percent_change,market_cap
0,Adani Ports,Transport Infrastructure,230.05,22.25,10.71,46740.45
1,Asian Paints,Paints,1552.0,53.55,3.57,148867.5
2,Axis Bank,Bank - Private,320.0,11.35,3.68,90286.13
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,2011.1,75.55,3.9,58194.6
4,Bajaj Finance,Finance - NBFC,2508.3,242.15,10.69,150921.67
5,Bajaj Finserv,Finance - Investment,4737.35,116.3,2.52,75388.9
6,Bharti Airtel,Telecommunication - Service Provider,418.0,10.65,2.61,228042.3
7,Bharti Infratel,Telecommunication - Equipment,137.6,-5.8,-4.04,25450.61
8,BPCL,Refineries,264.4,-4.95,-1.84,57355.04
9,Britannia,Consumer Food,2420.0,282.15,13.2,58193.33
10,Cipla,Pharmaceuticals & Drugs,400.85,25.6,6.82,32317.94
11,Coal India,Coal,131.2,3.35,2.62,80855.0
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2897.55,129.15,4.67,48149.19
13,Eicher Motors,Automobile - LCVS/ HVCS,14479.1,773.2,5.64,39535.87
14,GAIL,Gas Distribution,79.2,1.2,1.54,36025.5
15,Grasim,Diversified,424.55,-8.7,-2.01,27926.85
16,HCL Tech,IT Services & Consulting,448.65,31.5,7.55,121748.58
17,HDFC,Finance - Housing,1607.25,86.55,5.69,278372.03
18,HDFC Bank,Bank - Private,791.5,19.95,2.59,434002.12
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1717.9,101.9,6.31,34313.23
20,Hindalco,Iron & Steel,88.15,0.25,0.28,19800.45
21,HUL,Household & Personal Products,2036.85,167.15,8.94,440941.58
22,ICICI Bank,Bank - Private,298.05,14.05,4.95,192912.54
23,IndusInd Bank,Bank - Private,337.4,0.95,0.28,23399.9
24,Infosys,IT Services & Consulting,578.35,51.9,9.86,246307.53
25,IOC,Refineries,80.1,-0.65,-0.8,75407.41
26,ITC,Cigarettes/Tobacco,150.5,-3.8,-2.46,184998.08
27,JSW Steel,Iron & Steel,148.0,3.6,2.49,35774.86
28,Kotak Mahindra,Bank - Private,1160.9,62.65,5.7,222018.23
29,Larsen,Engineering & Construction,717.95,-6.1,-0.84,100792.43
30,M&M,Automobile - Auto & Truck Manufacturers,291.5,-1.9,-0.65,36239.06
31,Maruti Suzuki,Automobile - Passenger Cars,4426.2,205.85,4.88,133706.68
32,Nestle,Consumer Food,13737.3,792.65,6.12,132449.16
33,NTPC,Power Generation/Distribution,77.2,0.8,1.05,76385.98
34,ONGC,Oil Exploration and Production,63.9,3.5,5.79,80387.98
35,Power Grid Corp,Power Generation/Distribution,149.8,-3.2,-2.09,78369.21
36,Reliance,Oil Exploration and Production,956.0,71.95,8.14,606033.97
37,SBI,Bank - Public,188.85,7.25,3.99,168541.29
38,Sun Pharma,Pharmaceuticals & Drugs,346.15,21.65,6.67,83052.98
39,Tata Motors,Automobile - LCVS/ HVCS,69.2,3.0,4.53,21375.69
40,Tata Steel,Iron & Steel,276.15,5.0,1.84,31108.01
41,TCS,IT Services & Consulting,1742.85,73.15,4.38,653984.37
42,Tech Mahindra,IT Services & Consulting,514.95,27.75,5.7,50791.0
43,Titan Company,Diamond  &  Jewellery,841.15,40.2,5.02,74676.13
44,UltraTechCement,Cement,3090.65,35.8,1.17,89203.41
45,UPL,Pesticides & Agrochemicals,272.9,18.3,7.19,20850.8
46,Vedanta,Metals - Non Ferrous,64.9,2.25,3.59,24124.61
47,Wipro,IT Services & Consulting,180.15,10.0,5.88,102926.13
48,Yes Bank,Bank - Private,36.6,-3.15,-7.92,45934.73
49,Zee Entertain,TV Broadcasting & Software Production,122.0,0.0,0.0,11717.9
